TIME;RPM;MAP;Lambda 1;Lambda target;Short term trim;VE;Charge temp;Fuel pressure;TPS;DBW Target source;Ethanol content;F.ASE correction;
11.360;1221;40;0.897;0.931;-4.625;45.400;33;3.312;4.400;2;25.000;0;
11.400;1218;38;0.897;0.931;-4.688;45.300;34;3.312;4.400;2;25.000;0;
11.440;1215;40;0.896;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.480;1217;38;0.900;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.520;1208;40;0.905;0.931;-4.688;45.400;34;3.312;4.400;2;25.000;0;
11.560;1208;40;0.904;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.600;1201;40;0.904;0.931;-4.688;45.300;34;3.312;4.400;2;25.000;0;
11.640;1199;40;0.904;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.680;1205;40;0.907;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.720;1196;40;0.911;0.931;-4.688;45.400;34;3.312;4.400;2;25.000;0;
11.760;1196;40;0.912;0.931;-4.688;45.400;32;3.312;4.400;2;25.000;0;
11.800;1199;40;0.911;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.840;1203;40;0.915;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.880;1212;40;0.919;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.920;1222;40;0.921;0.931;-4.688;45.400;33;3.312;4.400;2;25.000;0;
11.960;1222;40;0.920;0.931;-4.688;45.500;33;3.312;4.400;2;25.000;0;
12.000;1229;40;0.920;0.931;-4.688;45.500;33;3.312;4.400;2;25.000;0;
12.040;1231;38;0.920;0.931;-4.688;45.500;33;3.375;4.400;2;25.000;0;
